name,id,sis,term,groupCategories
Intro to Community Health,36592,C.Online.2019.Winter.HS 240.5,Winter 2019,Week 04 Partners|Week 09 Partners|
Intro to Community Health,36594,C.Online.2019.Winter.HS 240.6,Winter 2019,Week 04 Partners|Week 09 Partners|
Environmental Health,35740,C.Online.2019.Winter.HS 310.3,Winter 2019,Set #02|Set #03|Set #04|Set #01|Week 10 Survey|
Communicable & Non-Comm Diseases,35608,C.Online.2019.Winter.HS 320.3,Winter 2019,
Healthcare Finance,37142,C.Online.2019.Winter.HS 345.2,Winter 2019,Case Study Groups|
Healthcare Finance,37144,C.Online.2019.Winter.HS 345.3,Winter 2019,Case Study Groups|
Epidemiology,37214,C.Online.2019.Winter.HS 370.3,Winter 2019,Group Discussion Boards|
Epidemiology,37216,C.Online.2019.Winter.HS 370.4,Winter 2019,Group Discussion Boards|
Epidemiology,37218,C.Online.2019.Winter.HS 370.5,Winter 2019,Meet one another|Group Discussion Boards|
Epidemiology,37220,C.Online.2019.Winter.HS 370.6,Winter 2019,Meet one another|Sections|Group Discussion Boards|
Program Planning/Implementation,36596,C.Online.2019.Winter.HS 390.3,Winter 2019,HS 390 Assignment Groups|
Program Planning/Implementation,36598,C.Online.2019.Winter.HS 390.4,Winter 2019,HS 390 Assignment Groups|
Program Planning/Implementation,36600,C.Online.2019.Winter.HS 390.5,Winter 2019,HS 390 Assignment Groups|
Program Planning/Implementation,36602,C.Online.2019.Winter.HS 390.6,Winter 2019,HS 390 Assignment Groups|
Research Methods & Program Eval,36446,C.Online.2019.Winter.HS 391.3,Winter 2019,Discussion Boards|Research Groups|
Research Methods & Program Eval,36448,C.Online.2019.Winter.HS 391.4,Winter 2019,Research Groups|
Research Methods & Program Eval,36450,C.Online.2019.Winter.HS 391.5,Winter 2019,Research Groups|
Research Methods & Program Eval,36452,C.Online.2019.Winter.HS 391.6,Winter 2019,Research Groups|
Research Methods & Program Eval,36454,C.Online.2019.Winter.HS 391.7,Winter 2019,Research Groups|
Drugs of Use and Abuse,35928,C.Online.2019.Winter.HS 460.3,Winter 2019,
Drugs of Use and Abuse,35930,C.Online.2019.Winter.HS 460.4,Winter 2019,
Drugs of Use and Abuse,35932,C.Online.2019.Winter.HS 460.5,Winter 2019,Winter 2019|
Health Communications,38604,C.Online.2019.Winter.HS 472.2,Winter 2019,HS 472 Discussion Group|
Health Communications,38606,C.Online.2019.Winter.HS 472.3,Winter 2019,HS 472 Discussion Group|
Intro to Hospitality & Tour Mgmt,39098,C.Online.2019.Winter.HTMBC 110.1,Winter 2019,HTM 110 Group|
Teams and Hospitality,38610,C.Online.2019.Winter.HTMBC 130.1,Winter 2019,HTM 130 Team|Beginning Group|
Accommodations Operations,38612,C.Online.2019.Winter.HTMBC 150.1,Winter 2019,
Food and Beverage,37388,C.Online.2019.Winter.HTMBC 220.1,Winter 2019,htm 220 Final Learning Teams|htm 220 Initial Learning Teams|
Hospitality & Tour Finance Mgmt,37390,C.Online.2019.Winter.HTMBC 240.1,Winter 2019,
Interdisciplinary Capstone,35738,C.Online.2019.Winter.IDS 499.1,Winter 2019,
Intro to International Studies,36902,C.Online.2019.Winter.INTST 100.1,Winter 2019,Intst 100 International News Meeting Group|INTST 100 Topics from Instructor Group|
Intro to International Studies,36904,C.Online.2019.Winter.INTST 100.3,Winter 2019,INTST 100 Topics from Instructor Group|Intst 100 International News Meeting Group|
Library Research Skills,35990,C.Online.2019.Winter.LR 111.6,Winter 2019,LR 111 Journals & Data Base Presentation Group|
Medical Law and Ethics,35934,C.Online.2019.Winter.MA 106.1,Winter 2019,MA 106 Debate Groups|MA 106 Discussion Groups |
Medical Law and Ethics,35936,C.Online.2019.Winter.MA 106.2,Winter 2019,MA 106 Debate Groups|MA 106 Discussion Groups |
Medical Law and Ethics,35938,C.Online.2019.Winter.MA 106.3,Winter 2019,MA 106 Debate Groups|MA 106 Discussion Groups |
Beginning Algebra,35736,C.Online.2019.Winter.MATH 100B.16,Winter 2019,Voice Thread Groups|
College Algebra,39198,C.Online.2019.Winter.MATH 110X.7,Winter 2019,
College Algebra,39200,C.Online.2019.Winter.MATH 110X.8,Winter 2019,
Business Statistics,35946,C.Online.2019.Winter.MATH 221A.10,Winter 2019,
Business Statistics,35948,C.Online.2019.Winter.MATH 221A.11,Winter 2019,
Business Statistics,35950,C.Online.2019.Winter.MATH 221A.12,Winter 2019,
Business Statistics,35952,C.Online.2019.Winter.MATH 221A.13,Winter 2019,
Business Statistics,35954,C.Online.2019.Winter.MATH 221A.14,Winter 2019,
Business Statistics,35958,C.Online.2019.Winter.MATH 221A.15,Winter 2019,
Business Statistics,35940,C.Online.2019.Winter.MATH 221A.7,Winter 2019,
Business Statistics,35942,C.Online.2019.Winter.MATH 221A.8,Winter 2019,
Business Statistics,35944,C.Online.2019.Winter.MATH 221A.9,Winter 2019,
Biostatistics,35960,C.Online.2019.Winter.MATH 221B.10,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35962,C.Online.2019.Winter.MATH 221B.11,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35964,C.Online.2019.Winter.MATH 221B.12,Winter 2019,Sections|Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35966,C.Online.2019.Winter.MATH 221B.13,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35968,C.Online.2019.Winter.MATH 221B.14,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35970,C.Online.2019.Winter.MATH 221B.15,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Biostatistics,35956,C.Online.2019.Winter.MATH 221B.9,Winter 2019,Math 221B - Design the Study|Math 221B - Make Inference and Take Action|Math 221B - PowerPoint Presentation|
Social Science Statistics,35976,C.Online.2019.Winter.MATH 221C.10,Winter 2019,
Social Science Statistics,35978,C.Online.2019.Winter.MATH 221C.11,Winter 2019,
Social Science Statistics,35980,C.Online.2019.Winter.MATH 221C.12,Winter 2019,
Social Science Statistics,35982,C.Online.2019.Winter.MATH 221C.13,Winter 2019,
Social Science Statistics,35972,C.Online.2019.Winter.MATH 221C.8,Winter 2019,
Social Science Statistics,35974,C.Online.2019.Winter.MATH 221C.9,Winter 2019,
Engineering Computation I,38614,C.Online.2019.Winter.ME 142.4,Winter 2019,
Engineering Computation I,38616,C.Online.2019.Winter.ME 142.5,Winter 2019,
Engineering Mechanics: Statics,37222,C.Online.2019.Winter.ME 201.3,Winter 2019,ME 201 Groups|
Engineering Mechanics: Statics,37224,C.Online.2019.Winter.ME 201.4,Winter 2019,ME 201 Groups|
Engineering Mechanics: Dynamics,38618,C.Online.2019.Winter.ME 204.2,Winter 2019,ME 204 Group Assignment Group|
Manufacturing Processes I,36604,C.Online.2019.Winter.ME 231.3,Winter 2019,ME 231 Teams |
Materials Science,39108,C.Online.2019.Winter.ME 250.3,Winter 2019,ME 250 MSITN Presenters|ME 250 MSITN Discussion Groups|ME 250 Design Project Groups|ME 250 Forensic Project Groups|
CAD and ME Drawings,35610,C.Online.2019.Winter.ME 272.1,Winter 2019,
Advanced Nursing Concepts,36606,C.Online.2019.Winter.NURS 400.1,Winter 2019,NURS 400: Scholarly Paper Peer Review Group|NURS 400: Small Group|
Advanced Nursing Concepts,36608,C.Online.2019.Winter.NURS 400.2,Winter 2019,NURS 400: Scholarly Paper Peer Review Group|NURS 400: Small Group|
Community Nursing (BSN),36610,C.Online.2019.Winter.NURS 449.1,Winter 2019,NURS 449 1st Half: Group|NURS 449 2nd Half: Group|
Community Nursing (BSN),36612,C.Online.2019.Winter.NURS 449.2,Winter 2019,NURS 449 1st Half: Group|NURS 449 2nd Half: Group|
Nursing Leadership (BSN),36614,C.Online.2019.Winter.NURS 450.1,Winter 2019,NURS 450 Discussion Group|
Nursing Leadership (BSN),36616,C.Online.2019.Winter.NURS 450.2,Winter 2019,NURS 450 Discussion Group|
Essentials of Human Nutrition,36618,C.Online.2019.Winter.NUTR 150.14,Winter 2019,Sections|NUTR 150 Discussion Group|
Essentials of Human Nutrition,36620,C.Online.2019.Winter.NUTR 150.15,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,36622,C.Online.2019.Winter.NUTR 150.16,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,36624,C.Online.2019.Winter.NUTR 150.17,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,37704,C.Online.2019.Winter.NUTR 150.18,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,36626,C.Online.2019.Winter.NUTR 150.19,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,36628,C.Online.2019.Winter.NUTR 150.21,Winter 2019,NUTR 150 Discussion Group|
Essentials of Human Nutrition,39100,C.Online.2019.Winter.NUTR 150.22,Winter 2019,NUTR 150 Discussion Group|
Nutrient Metabolism,36630,C.Online.2019.Winter.NUTR 200.2,Winter 2019,NUTR 200 Groups|NUTR 200 Wk 2 Group|
Nutrient Metabolism,36632,C.Online.2019.Winter.NUTR 200.3,Winter 2019,NUTR 200 Groups|NUTR 200 Wk 2 Group|
Nutrient Metabolism,37630,C.Online.2019.Winter.NUTR 200.4,Winter 2019,NUTR 200 Groups|NUTR 200 Wk 2 Group|
Introductory Applied Physics I,36898,C.Online.2019.Winter.PH 105.4,Winter 2019,PH 105 Group Work|
Principles of Physics I,36634,C.Online.2019.Winter.PH 121.8,Winter 2019,PH 121 Group Exercises|
General Psychology,36458,C.Online.2019.Winter.PSYCH 111.10,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,36460,C.Online.2019.Winter.PSYCH 111.11,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,36462,C.Online.2019.Winter.PSYCH 111.12,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,36464,C.Online.2019.Winter.PSYCH 111.13,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,36466,C.Online.2019.Winter.PSYCH 111.14,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,36468,C.Online.2019.Winter.PSYCH 111.15,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,37706,C.Online.2019.Winter.PSYCH 111.16,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,39102,C.Online.2019.Winter.PSYCH 111.17,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
General Psychology,39378,C.Online.2019.Winter.PSYCH 111.18,Winter 2019,
General Psychology,36456,C.Online.2019.Winter.PSYCH 111.9,Winter 2019,PSYCH 111 Field Report Group|PSYCH 111 Project Groups|
Career Development in Psychology,35626,C.Online.2019.Winter.PSYCH 112.1,Winter 2019,PSYCH 112 Discussion Group|
Research Methods,36636,C.Online.2019.Winter.PSYCH 302.3,Winter 2019,Outline Discussion|
Research Methods,36638,C.Online.2019.Winter.PSYCH 302.5,Winter 2019,Outline Discussion|
Research Methods,36640,C.Online.2019.Winter.PSYCH 302.6,Winter 2019,Outline Discussion|
Research Methods,36642,C.Online.2019.Winter.PSYCH 302.7,Winter 2019,Outline Discussion|
Research Methods,36644,C.Online.2019.Winter.PSYCH 302.8,Winter 2019,Outline Discussion|
Research Methods,36646,C.Online.2019.Winter.PSYCH 302.9,Winter 2019,Outline Discussion|
Leisure in Society,36470,C.Online.2019.Winter.RM 304.2,Winter 2019,RM 304 Discussion Groups|
Accessible Recreation,35612,C.Online.2019.Winter.RM 307.2,Winter 2019,RM 307: Team Huddle Discussion|
Therapeutic Recreation: Intro,37226,C.Online.2019.Winter.RM 370.2,Winter 2019,Disability Presentation Groups|Topic Presentation Groups|
Applied Therapeutic Recreation,37616,C.Online.2019.Winter.RM 373R.1,Winter 2019,373R Presentation Groups|
Intro to Social Media Marketing,36648,C.Online.2019.Winter.SMMBC 105.1,Winter 2019,SMM 105 Campaign |
Intro to Social Media Marketing,36650,C.Online.2019.Winter.SMMBC 105.2,Winter 2019,SMM 105 Campaign |
Intro to Social Media Marketing,39104,C.Online.2019.Winter.SMMBC 105.3,Winter 2019,SMM 105 Campaign |
Social Media Marketing Strategy,36652,C.Online.2019.Winter.SMMBC 120.1,Winter 2019,Sections|
Social Media Marketing Strategy,36654,C.Online.2019.Winter.SMMBC 120.2,Winter 2019,
Social Media Marketing Content,36656,C.Online.2019.Winter.SMMBC 130.1,Winter 2019,Set #1|Set #2|Set #3 |Set #4 |
Social Media Marketing Content,36658,C.Online.2019.Winter.SMMBC 130.2,Winter 2019,Set #1|Set #2|Set #3 |Set #4 |
SMM Analytics,35614,C.Online.2019.Winter.SMMBC 150.1,Winter 2019,SMM 150 Set #03|SMM 150 Set #01|SMM 150 Set #02|SMM 150 Set #04|
SMM Analytics,35616,C.Online.2019.Winter.SMMBC 150.2,Winter 2019,SMM 150 Set #03|SMM 150 Set #01|SMM 150 Set #02|SMM 150 Set #04|
SMM Advocacy and Advertising,35618,C.Online.2019.Winter.SMMBC 160.1,Winter 2019,Set #02|Set #01|Set #03|Set #04|
Introduction to Sociology,36660,C.Online.2019.Winter.SOC 111.4,Winter 2019,SOC 111 Project Group|
Introduction to Sociology,36662,C.Online.2019.Winter.SOC 111.5,Winter 2019,SOC 111 Project Group|
Introduction to Sociology,36664,C.Online.2019.Winter.SOC 111.6,Winter 2019,Discussion Groups|SOC 111 Project Group|
Introduction to Sociology,36666,C.Online.2019.Winter.SOC 111.7,Winter 2019,Zoom Groups for Group Activities|Discussion Board Groups|
Race and Ethnic Relations,36668,C.Online.2019.Winter.SOC 323.2,Winter 2019,SOC 323 Group Activity|SOC 323 (W08-13) Discussion Group|SOC 323 (W02-07) Discussion Group|
Race and Ethnic Relations,36670,C.Online.2019.Winter.SOC 323.3,Winter 2019,SOC 323 Group Activity|SOC 323 (W08-13) Discussion Group|SOC 323 (W02-07) Discussion Group|
Juvenile Delinquency,35620,C.Online.2019.Winter.SOC 383.2,Winter 2019,SOC 383 Activity Small Groups|Discussion Groups|
Exceptional Students: Grade 6-12,35728,C.Online.2019.Winter.SPED 360.3,Winter 2019,SPED 360 Week 07-14 Discussion Group|SPED 360 Week 02-06 Discussion Group|SPED 360 Project Groups|
Introduction to Social Work,35730,C.Online.2019.Winter.SW 260.3,Winter 2019,SW 260 Discussion Groups (W05-14)|SW 260 Discussion Groups (W01-04)|
Introduction to Social Work,35732,C.Online.2019.Winter.SW 260.4,Winter 2019,SW 260 Discussion Groups (W05-14)|SW 260 Discussion Groups (W01-04)|
Child Welfare Services,35734,C.Online.2019.Winter.SW 463.2,Winter 2019,SW 463 Peer Consultation Groups|
Introduction to Theatre,35622,C.Online.2019.Winter.TA 115.2,Winter 2019,TA 115 Discussion Groups|TA 115 Presentation Groups|
Dramatic Structure and Analysis,35624,C.Online.2019.Winter.TA 116.2,Winter 2019,TA 116 W02–W07 Table Work Teams|TA 116 W08–W13 Table Work Teams|
Theatre History I,35726,C.Online.2019.Winter.TA 401.1,Winter 2019,TA 401 W02-W07 Discussion Group|TA 401 W08-W13 Discussion Group|
Introduction to TESOL,36672,C.Online.2019.Winter.TESOL 101.1,Winter 2019,TESOL 101 Teach One Another Activities|
Introduction to TESOL,36674,C.Online.2019.Winter.TESOL 101.2,Winter 2019,TESOL 101 Teach One Another Activities|
Introduction to TESOL,39106,C.Online.2019.Winter.TESOL 101.3,Winter 2019,TESOL 101 Teach One Another Activities|
TESOL Pedagogy I,36676,C.Online.2019.Winter.TESOL 102.1,Winter 2019,
TESOL Pedagogy I,37708,C.Online.2019.Winter.TESOL 102.2,Winter 2019,Group 1|
TESOL Pedagogy II,36678,C.Online.2019.Winter.TESOL 103.1,Winter 2019,
TESOL Pedagogy II,39498,C.Online.2019.Winter.TESOL 103.2,Winter 2019,
English Grammar for TESOL,35724,C.Online.2019.Winter.TESOL 104.1,Winter 2019,Groups|Discussion Groups|
TESOL Practice,36680,C.Online.2019.Winter.TESOL 105.1,Winter 2019,
Intro to Web Design/Development,39306,C.Online.2019.Winter.WDD 100.15,Winter 2019,
Intro to Web Design/Development,35992,C.Online.2019.Winter.WDD 100.9,Winter 2019,
Advanced CSS,36472,C.Online.2019.Winter.WDD 331.3,Winter 2019,WDD 331 Group|
Advanced CSS,36474,C.Online.2019.Winter.WDD 331.4,Winter 2019,WDD 331 Group|
Advanced CSS,36476,C.Online.2019.Winter.WDD 331.5,Winter 2019,WDD 331 Group|
Project Management (Seth's Copy 8),39282,,Winter 2019,Structured Path|
Project Management (Seth's Copy 9),39284,,Winter 2019,Structured Path|
Word Processing II,39308,,Winter 2019,
Web Business Creation,39310,,Winter 2019,
